"subject","condition","term","mode","question","q","response","correct","rt_s","num_o","pretty_condition","pretty_mode"
"O1OA5","111","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E",FALSE,33.809,1,"Orth-Full","online-replication"
"O1OA5","111","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I",TRUE,25.143,1,"Orth-Full","online-replication"
"O1OA5","111","winter22","asynch","Which shift(s) end at the same time as F?",10,"E",TRUE,11.92,1,"Orth-Full","online-replication"
"O1OA5","111","winter22","asynch","Which shift(s) start at 12pm?",11,"LM",TRUE,9.517,2,"Orth-Full","online-replication"
"O1OA5","111","winter22","asynch","Which shift(s) start at the same time as F?",12,"G",TRUE,7.492,1,"Orth-Full","online-replication"
"O1OA5","111","winter22","asynch","Which 2 shifts end when Z begins?",13,"EF",TRUE,8.991,2,"Orth-Full","online-replication"
"O1OA5","111","winter22","asynch","Which shift(s) end at 3pm?",14,"X",TRUE,5.654,1,"Orth-Full","online-replication"
"O1OA5","111","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"KX",TRUE,7.734,2,"Orth-Full","online-replication"
"JX5XC","111","winter22","asynch","Which shift(s) start at 11 am?",1,"FK",FALSE,7.557,2,"Orth-Full","online-replication"
"JX5XC","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"JHU",FALSE,4.951,3,"Orth-Full","online-replication"
"JX5XC","111","winter22","asynch","Which shift(s) begin when C ends?",3,"IHU",FALSE,3.858,3,"Orth-Full","online-replication"
"JX5XC","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"HUB",FALSE,3.865,3,"Orth-Full","online-replication"
"JX5XC","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"FKEB",FALSE,5.193,4,"Orth-Full","online-replication"
"JX5XC","111","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,11.037,2,"Orth-Full","online-replication"
"JX5XC","111","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"BF",FALSE,23.335,2,"Orth-Full","online-replication"
"JX5XC","111","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"JK",FALSE,41.174,2,"Orth-Full","online-replication"
"JX5XC","111","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"KL",FALSE,22.868,2,"Orth-Full","online-replication"
"JX5XC","111","winter22","asynch","Which shift(s) end at the same time as F?",10,"GK",FALSE,7.754,2,"Orth-Full","online-replication"
"JX5XC","111","winter22","asynch","Which shift(s) start at 12pm?",11,"GK",FALSE,4.888,2,"Orth-Full","online-replication"
"JX5XC","111","winter22","asynch","Which shift(s) start at the same time as F?",12,"IK",FALSE,6.185,2,"Orth-Full","online-replication"
"JX5XC","111","winter22","asynch","Which 2 shifts end when Z begins?",13,"MN",FALSE,6.73,2,"Orth-Full","online-replication"
