"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","absolute_score"
"OVZHS","111","spring18","lab-synch","Female",22,"English","Fourth","United States ","NULL","NULL","NULL","NULL","NULL","NULL",12.8495166666667,2
"DD3DE","111","spring18","lab-synch","Female",20,"English","Third","United States ","NULL","NULL","NULL","NULL","NULL","NULL",12.0378,2
"1ZY3L","111","spring18","lab-synch","Male",20,"English","Third","usa","NULL","NULL","NULL","NULL","NULL","NULL",10.4007333333333,11
"9BBMD","111","spring18","lab-synch","Male",22,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.6271166666667,2
"HJ5O5","111","spring18","lab-synch","Male",20,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.34641666666667,14
"Q8EDD","111","spring18","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.10525,2
"AFQCB","121","spring18","lab-synch","Male",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",17.5747666666667,3
"VJNWA","111","spring18","lab-synch","Female",19,"English","Second","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.1170166666667,1
"DQQQX","111","spring18","lab-synch","Male",21,"Mandarin or Cantonese","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",13.9024166666667,2
"6MWHZ","121","spring18","lab-synch","Female",23,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.2771666666667,10
"RGJZL","121","spring18","lab-synch","Other",21,"Spanish","Third","Mexico","NULL","NULL","NULL","NULL","NULL","NULL",14.7577833333333,3
"MOWH2","121","spring18","lab-synch","Female",21,"English","Second","Sri Lanka","NULL","NULL","NULL","NULL","NULL","NULL",17.93165,2
"Z5Z7P","111","spring18","lab-synch","Female",23,"English","Fifth","USSA","NULL","NULL","NULL","NULL","NULL","NULL",16.3699666666667,3
