"subject","mode","pretty_condition","question","score","SHAPE","SCALE"
"JJ8JL","asynch","Tri-Isosceles",2,1,"TRI","isosceles"
"JJ8JL","asynch","Tri-Isosceles",3,2,"TRI","isosceles"
"JJ8JL","asynch","Tri-Isosceles",4,3,"TRI","isosceles"
"JJ8JL","asynch","Tri-Isosceles",5,4,"TRI","isosceles"
"JJ8JL","asynch","Tri-Isosceles",6,4,"TRI","isosceles"
"JJ8JL","asynch","Tri-Isosceles",7,5,"TRI","isosceles"
"JJ8JL","asynch","Tri-Isosceles",8,6,"TRI","isosceles"
"JJ8JL","asynch","Tri-Isosceles",9,7,"TRI","isosceles"
"JJ8JL","asynch","Tri-Isosceles",10,8,"TRI","isosceles"
"JJ8JL","asynch","Tri-Isosceles",11,9,"TRI","isosceles"
"JJ8JL","asynch","Tri-Isosceles",12,10,"TRI","isosceles"
"JJ8JL","asynch","Tri-Isosceles",13,11,"TRI","isosceles"
"293QB","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"293QB","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"293QB","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"293QB","asynch","Tri-Isosceles",4,0,"TRI","isosceles"
"293QB","asynch","Tri-Isosceles",5,1,"TRI","isosceles"
"293QB","asynch","Tri-Isosceles",6,1,"TRI","isosceles"
"293QB","asynch","Tri-Isosceles",7,1,"TRI","isosceles"
"293QB","asynch","Tri-Isosceles",8,2,"TRI","isosceles"
"293QB","asynch","Tri-Isosceles",9,2,"TRI","isosceles"
"293QB","asynch","Tri-Isosceles",10,2,"TRI","isosceles"
